번호,종목코드,종목명,fullcode,상업코드
546,A012610,경인양행,KR7012610002,008
547,A012620,원일특강,KR7012620001,268
548,A012630,HDC,KR7012630000,021
549,A012670,환영철강공업,KR7012670006,699
550,A012690,모나리자,KR7012690004,007
551,A012700,리드코프,KR7012700001,227
552,A012750,에스원,KR7012750006,026
553,A012760,동아,KR7012760005,699
554,A012790,신일제약,KR7012790002,266
555,A012800,대창,KR7012800009,011
556,A012860,모베이스전자,KR7012860003,275
557,A013000,세우글로벌,KR7013000005,016
558,A013030,하이록코리아,KR7013030002,268
559,A013090,인켈,KR7013090006,699
560,A013120,동원개발,KR7013120001,226
561,A013310,아진산업,KR7013310008,275
562,A013360,일성건설,KR7013360003,018
563,A013520,화승코퍼레이션,KR7013520002,015
564,A013570,디와이,KR7013570007,021
565,A013580,계룡건설,KR7013580006,018
566,A013700,까뮤이앤씨,KR7013700000,018
567,A013720,CBI,KR7013720008,275
568,A013810,스페코,KR7013810007,270
569,A013870,지엠비코리아,KR7013870001,015
570,A013890,지누스,KR7013890009,003
571,A013900,두원중공업,KR7013900006,699
572,A013990,아가방컴퍼니,KR7013990007,227
573,A014100,메디앙스,KR7014100002,265
574,A014130,한익스프레스,KR7014130009,019
575,A014160,대영포장,KR7014160006,007
576,A014190,원익큐브,KR7014190003,227
577,A014200,광림,KR7014200000,275
578,A014280,금강공업,KR7014280002,011
579,A014285,금강공업우,KR7014281000,011
580,A014440,영보화학,KR7014440002,008
581,A014470,부방,KR7014470009,231
582,A014530,극동유화,KR7014530000,008
583,A014570,고려제약,KR7014570006,266
584,A014580,태경비케이,KR7014580005,010
585,A014620,성광벤드,KR7014620009,268
586,A014680,한솔케미칼,KR7014680003,008
587,A014710,사조씨푸드,KR7014710008,005
588,A014790,한라,KR7014790000,018
589,A014820,동원시스템즈,KR7014820005,008
590,A014825,동원시스템즈우,KR7014821003,008
591,A014830,유니드,KR7014830004,008
592,A014910,성문전자,KR7014910004,013
593,A014915,성문전자우,KR7014911002,013
594,A014940,오리엔탈정공,KR7014940001,270
595,A014970,삼륭물산,KR7014970008,262
596,A014990,인디에프,KR7014990006,006
597,A015020,이스타코,KR7015020001,026
598,A015150,다산,KR7015150006,699
599,A015200,성원,KR7015200009,699
600,A015230,대창단조,KR7015230006,015
601,A015260,에이엔피,KR7015260003,013
602,A015350,부산가스,KR7015350002,017
603,A015360,예스코홀딩스,KR7015360001,021
604,A015540,쎌마테라퓨틱스,KR7015540008,026
605,A015590,큐로,KR7015590003,012
606,A015710,코콤,KR7015710007,357
607,A015750,성우하이텍,KR7015750003,275
608,A015760,한국전력,KR7015760002,017
609,A015860,일진홀딩스,KR7015860000,021
610,A015890,태경산업,KR7015890007,008
611,A016090,대현,KR7016090003,006
612,A016100,리더스코스메틱,KR7016100000,265
613,A016250,SGC이테크건설,KR7016250003,226
614,A016360,삼성증권,KR7016360000,024
615,A016380,KG동부제철,KR7016380008,011
616,A016385,KG동부제철우,KR7016381006,011
617,A016450,한세예스24홀딩스,KR7016450009,006
618,A016580,환인제약,KR7016580003,009
619,A016590,신대양제지,KR7016590002,007
620,A016600,큐캐피탈,KR7016600009,231
621,A016610,DB금융투자,KR7016610008,024
622,A016670,인피니티엔티,KR7016670002,227
623,A016710,대성홀딩스,KR7016710006,026
624,A016740,두올,KR7016740003,015
625,A016790,현대사료,KR7016790008,256
626,A016800,퍼시스,KR7016800005,004
627,A016880,웅진,KR7016880007,021
628,A016920,카스,KR7016920001,227
629,A017000,신원종합개발,KR7017000001,226
630,A017040,광명전기,KR7017040007,013
631,A017180,명문제약,KR7017180001,009
632,A017250,인터엠,KR7017250002,272
633,A017370,우신시스템,KR7017370008,012
634,A017390,서울가스,KR7017390006,017
635,A017480,삼현철강,KR7017480005,268
636,A017510,세명전기,KR7017510009,268
637,A017550,수산중공업,KR7017550005,012
638,A017650,대림제지,KR7017650003,262
639,A017670,SK텔레콤,KR7017670001,020
